timestamp,pids,cpu_delta_s,mem_mb,errors_delta,errors_total,trades_delta,trades_total,restarts_total,log_bytes
2025-12-29T11:27:37.7479860+05:00,,0,0,13,13,6,6,4,317095
2025-12-29T11:27:48.0363180+05:00,,0,0,0,13,0,6,4,317095
2025-12-29T11:27:58.1420048+05:00,,0,0,0,13,0,6,4,317095
2025-12-29T11:35:36.8920411+05:00,,0,87.02,13,13,6,6,4,321086
2025-12-29T11:35:47.1042416+05:00,,0.188,87.48,0,13,0,6,4,321704
2025-12-29T11:35:57.2014991+05:00,,0.016,87.48,0,13,0,6,4,321704
2025-12-29T11:36:07.3185655+05:00,,0.266,88.14,0,13,0,6,4,322169
2025-12-29T11:36:17.4010130+05:00,,0.344,88.25,0,13,0,6,4,322634
2025-12-29T11:36:27.4843256+05:00,,0,88.25,0,13,0,6,4,322634
2025-12-29T11:36:37.5925064+05:00,,0.562,87.53,0,13,0,6,4,323099
2025-12-29T11:36:47.6784690+05:00,,0.609,88.45,0,13,0,6,4,323564
2025-12-29T11:36:57.7739636+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:37:07.8597204+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:37:17.9387372+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:37:28.0281011+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:37:38.1019950+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:37:48.1912841+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:37:58.2784273+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:38:08.3600179+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:38:18.4403699+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:38:28.5186105+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:38:38.5851878+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:38:48.6600608+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:38:58.7395755+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:39:08.8252595+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:39:18.8941173+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:39:28.9991695+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:39:39.0900476+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:39:49.1906280+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:39:59.2650475+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:40:09.3522769+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:40:19.4377884+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:40:29.5182042+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:40:39.5988143+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:40:49.6836603+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:40:59.7605235+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:41:09.8378824+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:41:19.9112561+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:41:29.9866731+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:41:40.0574459+05:00,,0,0,0,13,0,6,4,323564
